id,term,definition
card1,Greatest technical autonomy professional relationship,Client-professional relationship gives an engineer or geoscientist the greatest technical autonomy.
card2,Administration of provincial Act creating engineering/geoscience association,The Association's Council (self-governing body) administers that Act.
card3,Core expectations of self-governing profession in Canada,(1) Legal and ethical responsibility for one's work (2) Public interest held paramount.
card4,Bribe for false testimony—what professional duty does this violate?,"It violates the Duty to the Profession: engineers/geoscientists must maintain dignity and avoid dishonourable conduct.

Simple Example:A contractor slips an engineer cash to lie in court about a bridge's safety. Accepting this bribe is dishonourable and breaks the engineer's duty to uphold the profession's integrity."
card5,Legal action for licensing engineers,Passage of provincial/territorial legislation that authorises the association.
card6,Best practice for land survey conflict,Decline the second contract without revealing the first client's interest.
card7,What process does the ethical-decision framework mirror and why?,"The design process. Both use a structured, step-by-step approach to solve problems logically."
card8,Employer statement when reassigning unsafe work,"Why, in the employer's opinion, the work no longer (or never did) pose a danger."
card9,Consultant-client contract role,As part of the client's team and acting in the client's best interests (after the public's).
card10,Billing fraudulently instruction,Refuse the instruction and tell the employer it is illegal.
card11,Core expectations of self-governing professions,"(1) Legal & ethical responsibility for work (2) Public interest held paramount.

Simplified Explanation:

The two main expectations of self-regulated professions are:

Professionals must take legal and ethical responsibility for the work they do.
They must put the public’s best interests first, above profit or personal gain.

This means these professions are trusted to act responsibly, honestly, and for the common good.

Example:

A doctor must follow medical laws and ethical rules when treating patients.
A lawyer must act honestly and follow professional standards.
Both should make decisions that protect the public, not just themselves.
For example, a doctor should prioritize patient safety over making more money.
That shows both accountability and commitment to the public interest."
card12,"Under an NDA, can you use technical know-how you gained on the project in future work?

(Technical know-how means Skills, methods, and practical knowledge you gain through work or training. And, 
NDA (Non-Disclosure Agreement) means A legal contract saying you must keep certain information secret.)","Yes—skills and knowledge become part of your experience, though facts under NDA stay confidential. Or in other words, Yes. You can use your general skills and experience, but you must not disclose or use the client’s confidential information (e.g., proprietary data, drawings, code, trade secrets)."
card13,OHS refusal-of-work notice requirements,The employer's rationale that the task is now safe.
card14,Provincial/territorial association support,Its own Code of Ethics.
card15,Golden Mean solution in virtue ethics,"A compromise size (e.g., 300 000 sq ft) balancing patient need and park land."
card16,Golden Rule and ethical theories,"The Golden Rule , which says ""treat others how you want to be treated"" fits into all four major ethical theories.

Kant would say it’s your duty.

Mill would like it because it leads to good outcomes for many.

Locke would support it because it respects others’ rights.

Aristotle would call it a sign of good character.
So, it’s a rule that almost every moral system agrees with."
card17,Code-of-Ethics line on conflicts of interest,"Act as faithful agents, maintain confidentiality, avoid or fully disclose conflicts without delay."
card18,Potential conflict-of-interest example,"A ""dry"" town accepts soft-drink billboard money from a brewer that may advertise beer later."
card19,Employer requirements under confidentiality law,A written statement of why the employer believes the work is now safe (or never was unsafe).
card20,Paternalism in international consulting,Definition not provided.
card21,Paramount obligation (the top duty in the Code of Ethics),"In every Canadian engineering/geoscience Code of Ethics, the paramount obligation is to protect public welfare and the environment."
card22,Categories of justice,"The four fundamental categories of justice used in ethics are Procedural, Corrective (or Retributive), Distributive, Political."
card23,Traditional branches of philosophy,"Anthropology is not a traditional branch of philosophy; traditional branches include logic, metaphysics, epistemology, axiology."
card24,What is extortion in a professional context?,Extortion is a coerced demand by someone in authority for payment or a benefit to give a routine approval or service that should be free.
card25,First ethical step for management request,The first ethical step if management asks you to downgrade a design below code to save money is to explain the consequences in writing and ensure management understands the risk; do not seal an unsafe design.
card26,Fraudulent registration,Falsifying experience on a P.Eng. application is called this under the Act.
card27,Non-disclosure (confidentiality) clause,Best protects an employer's trade secrets if an employee later leaves.
card28,"Canadian product-liability ""duty-of-care"" precedent case","Donoghue v. Stevenson - manufacturer owes reasonable care to end-user.

In Donoghue v. Stevenson, the court said that manufacturers must take reasonable care to make sure their products are safe for the people who use them.
This case created the rule that you can be held responsible if someone is hurt because you didn’t make your product safely—even if they didn’t buy it directly from you.

Example

A woman found a snail in her ginger beer and got sick.
She didn’t buy the drink herself, but the manufacturer was still held responsible.
Why? Because they had a duty of care to anyone who might drink their product.
This case showed that companies can’t ignore the end-user’s safety.
It helped shape the modern idea of negligence law."
card29,First screening question in engineering ethical dilemma,"""Does this situation endanger public health or safety?"" - if yes, act immediately (up to whistle-blowing)."
card30,Are electronic records less reliable than paper records for evidence?,"No. Form/media doesn’t matter. Records are reliable if you can prove integrity, completeness, and authenticity. Electronic and hard-copy are equally acceptable. "
card31,Peer review of another engineer's work,No permission required; courtesy notification is enough; employer/client can mandate the review.
card32,"Engineer used a widely-criticised, unrevised tech-society code and structure failed - likely court view?","Engineer liable - ought to have known the code was inadequate given recent, public failures."
card33,"Experience-report competency category for writing specs, reports, procedures",Communication skills competency.
